0.490,0.290,0.480,0.500,0.560,0.240,0.350,0
0.070,0.400,0.480,0.500,0.540,0.350,0.440,0
0.560,0.400,0.480,0.500,0.490,0.370,0.460,0
0.590,0.490,0.480,0.500,0.520,0.450,0.360,0
0.230,0.320,0.480,0.500,0.550,0.250,0.350,0
0.670,0.390,0.480,0.500,0.360,0.380,0.460,0
0.290,0.280,0.480,0.500,0.440,0.230,0.340,0
0.210,0.340,0.480,0.500,0.510,0.280,0.390,0
0.200,0.440,0.480,0.500,0.460,0.510,0.570,0
0.420,0.400,0.480,0.500,0.560,0.180,0.300,0
0.420,0.240,0.480,0.500,0.570,0.270,0.370,0
0.250,0.480,0.480,0.500,0.440,0.170,0.290,0
0.390,0.320,0.480,0.500,0.460,0.240,0.350,0
0.510,0.500,0.480,0.500,0.460,0.320,0.350,0
0.220,0.430,0.480,0.500,0.480,0.160,0.280,0
0.250,0.400,0.480,0.500,0.460,0.440,0.520,0
0.340,0.450,0.480,0.500,0.380,0.240,0.350,0
0.440,0.270,0.480,0.500,0.550,0.520,0.580,0
0.230,0.400,0.480,0.500,0.390,0.280,0.380,0
0.410,0.570,0.480,0.500,0.390,0.210,0.320,0
0.400,0.450,0.480,0.500,0.380,0.220,0.000,0
0.310,0.230,0.480,0.500,0.730,0.050,0.140,0
0.510,0.540,0.480,0.500,0.410,0.340,0.430,0
0.300,0.160,0.480,0.500,0.560,0.110,0.230,0
0.360,0.390,0.480,0.500,0.480,0.220,0.230,0
0.290,0.370,0.480,0.500,0.480,0.440,0.520,0
0.250,0.400,0.480,0.500,0.470,0.330,0.420,0
0.210,0.510,0.480,0.500,0.500,0.320,0.410,0
0.430,0.370,0.480,0.500,0.530,0.350,0.440,0
0.430,0.390,0.480,0.500,0.470,0.310,0.410,0
0.530,0.380,0.480,0.500,0.440,0.260,0.360,0
0.340,0.330,0.480,0.500,0.380,0.350,0.440,0
0.560,0.510,0.480,0.500,0.340,0.370,0.460,0
0.400,0.290,0.480,0.500,0.420,0.350,0.440,0
0.240,0.350,0.480,0.500,0.310,0.190,0.310,0
0.360,0.540,0.480,0.500,0.410,0.380,0.460,0
0.290,0.520,0.480,0.500,0.420,0.290,0.390,0
0.650,0.470,0.480,0.500,0.590,0.300,0.400,0
0.320,0.420,0.480,0.500,0.350,0.280,0.380,0
0.380,0.460,0.480,0.500,0.480,0.220,0.290,0
0.330,0.450,0.480,0.500,0.520,0.320,0.410,0
0.300,0.370,0.480,0.500,0.590,0.410,0.490,0
0.400,0.500,0.480,0.500,0.450,0.390,0.470,0
0.280,0.380,0.480,0.500,0.500,0.330,0.420,0
0.610,0.450,0.480,0.500,0.480,0.350,0.410,0
0.170,0.380,0.480,0.500,0.450,0.420,0.500,0
0.440,0.350,0.480,0.500,0.550,0.550,0.610,0
0.430,0.400,0.480,0.500,0.390,0.280,0.390,0
0.420,0.350,0.480,0.500,0.580,0.150,0.270,0
0.230,0.330,0.480,0.500,0.430,0.330,0.430,0
0.370,0.520,0.480,0.500,0.420,0.420,0.360,0
0.290,0.300,0.480,0.500,0.450,0.030,0.170,0
0.220,0.360,0.480,0.500,0.350,0.390,0.470,0
0.230,0.580,0.480,0.500,0.370,0.530,0.590,0
0.470,0.470,0.480,0.500,0.220,0.160,0.260,0
0.540,0.470,0.480,0.500,0.280,0.330,0.420,0
0.510,0.370,0.480,0.500,0.350,0.360,0.450,0
0.400,0.350,0.480,0.500,0.450,0.330,0.420,0
0.440,0.340,0.480,0.500,0.300,0.330,0.430,0
0.420,0.380,0.480,0.500,0.540,0.340,0.430,0
0.440,0.560,0.480,0.500,0.500,0.460,0.540,0
0.520,0.360,0.480,0.500,0.410,0.280,0.380,0
0.360,0.410,0.480,0.500,0.480,0.470,0.540,0
0.180,0.300,0.480,0.500,0.460,0.240,0.350,0
